Operation,DN,Attribute: Value
change,"['objectClassId=0.0.17.1218.127.6.5046,configType=objectClass,config=sdf,', 'optAttrIds', 7]","('2.5.24.5', '0.0.17.1218.127.4.5435')"
change,"['objectClassId=0.0.17.1218.127.6.5047,configType=objectClass,config=sdf,', 'optAttrIds', 3]","('0.0.17.1218.127.4.5437', '0.0.17.1218.127.4.5265')"
change,"['objectClassId=0.0.17.1218.127.6.5047,configType=objectClass,config=sdf,', 'optAttrIds', 4]","('0.0.17.1218.127.4.5265', '0.0.17.1218.127.4.5266')"
change,"['objectClassId=0.0.17.1218.127.6.5047,configType=objectClass,config=sdf,', 'optAttrIds', 5]","('0.0.17.1218.127.4.5266', '0.0.17.1218.127.4.5267')"
change,"['objectClassId=0.0.17.1218.127.6.5047,configType=objectClass,config=sdf,', 'optAttrIds', 6]","('0.0.17.1218.127.4.5267', '0.0.17.1218.127.4.5268')"
change,"['objectClassId=0.0.17.1218.127.6.5047,configType=objectClass,config=sdf,', 'optAttrIds', 7]","('0.0.17.1218.127.4.5268', '2.5.24.5')"
change,"['objectClassId=0.0.17.1218.127.6.5047,configType=objectClass,config=sdf,', 'optAttrIds', 9]","('2.5.24.5', '0.0.17.1218.127.4.5437')"
change,"['objectClassId=0.0.17.1218.127.6.5073,configType=objectClass,config=sdf,', 'optAttrIds', 1]","('0.0.17.1218.127.4.5420', '2.5.24.5')"
change,"['objectClassId=0.0.17.1218.127.6.5073,configType=objectClass,config=sdf,', 'optAttrIds', 2]","('0.0.17.1218.127.4.5432', '0.0.17.1218.127.4.5420')"
change,"['objectClassId=0.0.17.1218.127.6.5073,configType=objectClass,config=sdf,', 'optAttrIds', 3]","('2.5.24.5', '0.0.17.1218.127.4.5432')"
change,"['objectClassId=0.0.17.1218.127.6.5075,configType=objectClass,config=sdf,', 'optAttrIds', 0]","('0.0.17.1218.127.4.5427', '0.0.17.1218.127.4.5392')"
change,"['objectClassId=0.0.17.1218.127.6.5075,configType=objectClass,config=sdf,', 'optAttrIds', 1]","('0.0.17.1218.127.4.5392', '0.0.17.1218.127.4.5390')"
